discount,item_id,list_price,order_id,product_id,quantity
0.2,1,599.99,1,20,1
0.07,2,1799.99,1,8,2
0.05,3,1549.0,1,10,2
0.05,4,599.99,1,16,2
0.2,5,2899.99,1,4,1
0.07,1,599.99,2,20,1
0.05,2,599.99,2,16,2
0.05,1,999.99,3,3,1
0.05,2,599.99,3,20,1
0.1,1,749.99,4,2,2
0.05,1,1549.0,5,10,2
0.07,2,429.0,5,17,1
0.07,3,599.99,5,26,1
0.07,1,449.0,6,18,1
0.05,2,549.99,6,12,2
0.1,3,599.99,6,20,1
0.07,4,999.99,6,3,2
0.07,5,2999.99,6,9,2
0.07,1,529.99,7,15,1
0.1,2,999.99,7,3,1
0.1,3,429.0,7,17,2
0.05,1,269.99,8,22,1
0.07,2,599.99,8,20,2
0.1,1,3999.99,9,7,2
0.1,1,269.99,10,14,1
0.05,1,1799.99,11,8,1
0.1,2,269.99,11,22,2
0.2,3,599.99,11,16,2
0.1,1,2899.99,12,4,2
0.05,2,1680.99,12,11,1
0.1,1,269.99,13,13,1
0.05,2,429.0,13,17,2
0.1,3,599.99,13,20,2
0.05,4,599.99,13,16,2
0.07,1,469.99,14,6,1
0.07,1,549.99,15,12,2
0.07,2,1799.99,15,8,1
0.05,3,449.0,15,18,2
0.2,4,299.99,15,23,2
0.2,1,1799.99,16,8,1
0.05,2,269.99,16,21,1
0.07,3,269.99,16,13,2
0.07,4,269.99,16,14,1
0.07,1,1799.99,17,8,1
0.1,2,299.99,17,23,1
0.1,3,1320.99,17,5,1
0.2,4,599.99,17,20,2
0.2,1,749.99,18,2,2
0.05,2,269.99,18,22,1
0.1,3,3999.99,18,7,1
0.05,4,499.99,18,25,2
0.1,5,2999.99,18,9,2
0.07,1,1549.0,19,10,1
0.2,2,2999.99,19,9,2
0.07,1,2999.99,20,9,1
0.07,2,1549.0,20,10,2
0.05,1,269.99,21,14,1
0.1,2,429.0,21,17,1
0.07,3,1549.0,21,10,1
0.2,1,529.99,22,15,2
0.05,2,269.99,22,22,1
0.05,1,2899.99,23,4,2
0.1,2,299.99,23,23,2
0.2,3,269.99,23,13,1
0.1,1,999.99,24,3,2
0.07,2,449.0,24,18,2
0.2,1,299.99,25,23,2
0.2,2,1549.0,25,10,2
0.2,3,269.99,25,22,1
0.2,4,269.99,25,14,1
0.1,5,269.99,25,21,1
0.05,1,3999.99,26,7,1
0.2,2,749.99,26,2,1
0.2,3,549.99,26,12,1
0.07,4,269.99,26,21,2
0.2,1,1320.99,27,5,1
0.2,2,449.0,27,19,1
0.07,3,599.99,27,26,2
0.07,4,1799.99,27,8,1
0.05,1,1320.99,28,5,1
0.2,2,3999.99,28,7,2
0.1,3,269.99,28,14,2
0.05,4,469.99,28,6,1
0.05,1,549.99,29,24,2
0.2,2,469.99,29,6,1
0.1,3,269.99,29,21,2
0.2,4,1799.99,29,8,1
0.05,5,269.99,29,14,2
0.05,1,599.99,30,26,1
0.07,2,429.0,30,17,1
0.1,3,449.0,30,19,1
0.1,4,2899.99,30,4,1
0.1,5,3999.99,30,7,2
0.05,1,1680.99,31,11,2
0.2,2,2999.99,31,9,2
0.07,1,1799.99,32,8,2
0.07,2,549.99,32,12,2
0.1,3,499.99,32,25,2
0.07,1,299.99,33,23,2
0.1,2,3999.99,33,7,1
0.07,1,1799.99,34,8,2
0.1,2,1549.0,34,10,2
0.2,3,429.0,34,17,2
0.05,1,449.0,35,18,1
0.05,2,599.99,35,20,2
0.2,3,1320.99,35,5,1
0.07,4,269.99,35,21,2
0.07,5,269.99,35,22,1
0.07,1,2999.99,36,9,1
0.05,2,1320.99,36,5,1
0.2,3,999.99,36,3,2
0.05,1,599.99,37,16,2
0.05,1,3999.99,38,7,2
0.07,2,299.99,38,23,1
0.2,3,499.99,38,25,1
0.1,4,1549.0,38,10,2
0.07,5,549.99,38,24,1
0.2,1,269.99,39,22,2
0.2,2,599.99,39,16,2
0.05,3,999.99,39,3,2
0.1,4,529.99,39,15,1
0.2,1,429.0,40,17,1
0.2,2,1799.99,40,8,2
