customer_id,order_date,order_id,order_status,required_date,shipped_date,staff_name,store
259,01/01/2016,1,4,03/01/2016,03/01/2016,Mireya,Santa Cruz Bikes
1212,01/01/2016,2,4,04/01/2016,03/01/2016,Marcelene,Baldwin Bikes
523,02/01/2016,3,4,05/01/2016,03/01/2016,Venita,Baldwin Bikes
175,03/01/2016,4,4,04/01/2016,05/01/2016,Genna,Santa Cruz Bikes
1324,03/01/2016,5,4,06/01/2016,06/01/2016,Marcelene,Baldwin Bikes
94,04/01/2016,6,4,07/01/2016,05/01/2016,Marcelene,Baldwin Bikes
324,04/01/2016,7,4,07/01/2016,05/01/2016,Marcelene,Baldwin Bikes
1204,04/01/2016,8,4,05/01/2016,05/01/2016,Venita,Baldwin Bikes
60,05/01/2016,9,4,08/01/2016,08/01/2016,Mireya,Santa Cruz Bikes
442,05/01/2016,10,4,06/01/2016,06/01/2016,Marcelene,Baldwin Bikes
1326,05/01/2016,11,4,08/01/2016,07/01/2016,Venita,Baldwin Bikes
91,06/01/2016,12,4,08/01/2016,09/01/2016,Mireya,Santa Cruz Bikes
873,08/01/2016,13,4,11/01/2016,11/01/2016,Marcelene,Baldwin Bikes
258,09/01/2016,14,4,11/01/2016,12/01/2016,Genna,Santa Cruz Bikes
450,09/01/2016,15,4,10/01/2016,12/01/2016,Venita,Baldwin Bikes
552,12/01/2016,16,4,15/01/2016,15/01/2016,Genna,Santa Cruz Bikes
1175,12/01/2016,17,4,14/01/2016,14/01/2016,Genna,Santa Cruz Bikes
541,14/01/2016,18,4,17/01/2016,15/01/2016,Genna,Santa Cruz Bikes
696,14/01/2016,19,4,17/01/2016,16/01/2016,Mireya,Santa Cruz Bikes
923,14/01/2016,20,4,16/01/2016,17/01/2016,Mireya,Santa Cruz Bikes
1250,15/01/2016,21,4,16/01/2016,18/01/2016,Marcelene,Baldwin Bikes
1035,16/01/2016,22,4,18/01/2016,17/01/2016,Mireya,Santa Cruz Bikes
1149,16/01/2016,23,4,19/01/2016,19/01/2016,Mireya,Santa Cruz Bikes
636,18/01/2016,24,4,20/01/2016,19/01/2016,Venita,Baldwin Bikes
657,18/01/2016,25,4,21/01/2016,21/01/2016,Marcelene,Baldwin Bikes
1280,18/01/2016,26,4,21/01/2016,19/01/2016,Venita,Baldwin Bikes
57,19/01/2016,27,4,21/01/2016,20/01/2016,Venita,Baldwin Bikes
252,19/01/2016,28,4,20/01/2016,21/01/2016,Marcelene,Baldwin Bikes
437,20/01/2016,29,4,22/01/2016,21/01/2016,Marcelene,Baldwin Bikes
1348,20/01/2016,30,4,21/01/2016,21/01/2016,Marcelene,Baldwin Bikes
1238,20/01/2016,31,4,22/01/2016,22/01/2016,Kali,Rowlett Bikes
1259,21/01/2016,32,4,24/01/2016,22/01/2016,Genna,Santa Cruz Bikes
236,21/01/2016,33,4,22/01/2016,22/01/2016,Marcelene,Baldwin Bikes
80,22/01/2016,34,4,25/01/2016,23/01/2016,Marcelene,Baldwin Bikes
813,22/01/2016,35,4,25/01/2016,24/01/2016,Venita,Baldwin Bikes
1321,23/01/2016,36,4,24/01/2016,24/01/2016,Marcelene,Baldwin Bikes
164,25/01/2016,37,4,28/01/2016,26/01/2016,Marcelene,Baldwin Bikes
583,25/01/2016,38,4,27/01/2016,26/01/2016,Venita,Baldwin Bikes
1296,25/01/2016,39,4,26/01/2016,26/01/2016,Venita,Baldwin Bikes
348,27/01/2016,40,4,28/01/2016,29/01/2016,Genna,Santa Cruz Bikes
979,27/01/2016,41,4,30/01/2016,29/01/2016,Marcelene,Baldwin Bikes
1095,27/01/2016,42,4,28/01/2016,30/01/2016,Venita,Baldwin Bikes
1434,27/01/2016,43,4,28/01/2016,30/01/2016,Venita,Baldwin Bikes
861,28/01/2016,44,4,31/01/2016,30/01/2016,Venita,Baldwin Bikes
1220,28/01/2016,45,4,31/01/2016,31/01/2016,Venita,Baldwin Bikes
746,29/01/2016,46,4,31/01/2016,31/01/2016,Venita,Baldwin Bikes
1234,29/01/2016,47,4,30/01/2016,31/01/2016,Venita,Baldwin Bikes
1012,30/01/2016,48,4,01/02/2016,02/02/2016,Venita,Baldwin Bikes
608,31/01/2016,49,4,01/02/2016,02/02/2016,Marcelene,Baldwin Bikes
872,31/01/2016,50,4,03/02/2016,02/02/2016,Kali,Rowlett Bikes
1047,01/02/2016,51,4,02/02/2016,03/02/2016,Venita,Baldwin Bikes
767,03/02/2016,52,4,04/02/2016,05/02/2016,Mireya,Santa Cruz Bikes
965,03/02/2016,53,4,04/02/2016,05/02/2016,Marcelene,Baldwin Bikes
535,04/02/2016,54,4,07/02/2016,07/02/2016,Venita,Baldwin Bikes
1173,04/02/2016,55,4,07/02/2016,06/02/2016,Marcelene,Baldwin Bikes
1241,04/02/2016,56,4,06/02/2016,07/02/2016,Marcelene,Baldwin Bikes
1305,04/02/2016,57,4,06/02/2016,06/02/2016,Venita,Baldwin Bikes
504,05/02/2016,58,4,07/02/2016,07/02/2016,Marcelene,Baldwin Bikes
563,05/02/2016,59,4,07/02/2016,06/02/2016,Venita,Baldwin Bikes
151,06/02/2016,60,4,08/02/2016,07/02/2016,Genna,Santa Cruz Bikes
277,06/02/2016,61,4,09/02/2016,09/02/2016,Venita,Baldwin Bikes
208,07/02/2016,62,4,10/02/2016,10/02/2016,Mireya,Santa Cruz Bikes
1075,07/02/2016,63,4,09/02/2016,09/02/2016,Venita,Baldwin Bikes
