store_name,product_id,quantity
Santa Cruz Bikes,1,27
Santa Cruz Bikes,2,5
Santa Cruz Bikes,3,6
Santa Cruz Bikes,4,23
Santa Cruz Bikes,5,22
Santa Cruz Bikes,6,0
Santa Cruz Bikes,7,8
Santa Cruz Bikes,8,0
Santa Cruz Bikes,9,11
Santa Cruz Bikes,10,15
Santa Cruz Bikes,11,8
Santa Cruz Bikes,12,16
Santa Cruz Bikes,13,13
Santa Cruz Bikes,14,8
Santa Cruz Bikes,15,3
Santa Cruz Bikes,16,4
Santa Cruz Bikes,17,2
Santa Cruz Bikes,18,16
Santa Cruz Bikes,19,4
Santa Cruz Bikes,20,26
Santa Cruz Bikes,21,24
Santa Cruz Bikes,22,29
Santa Cruz Bikes,23,9
Santa Cruz Bikes,24,10
Santa Cruz Bikes,25,10
Santa Cruz Bikes,26,16
Santa Cruz Bikes,27,21
Santa Cruz Bikes,28,20
Santa Cruz Bikes,29,13
Santa Cruz Bikes,30,30
Santa Cruz Bikes,31,2
Santa Cruz Bikes,32,0
Santa Cruz Bikes,33,10
Santa Cruz Bikes,34,2
Santa Cruz Bikes,35,18
Santa Cruz Bikes,36,26
Santa Cruz Bikes,37,12
Santa Cruz Bikes,38,13
Santa Cruz Bikes,39,2
Santa Cruz Bikes,40,24
Santa Cruz Bikes,41,10
Santa Cruz Bikes,42,0
Santa Cruz Bikes,43,2
Santa Cruz Bikes,44,1
Santa Cruz Bikes,45,15
Santa Cruz Bikes,46,19
Santa Cruz Bikes,47,21
Santa Cruz Bikes,48,5
Santa Cruz Bikes,49,8
Santa Cruz Bikes,50,29
Santa Cruz Bikes,51,2
Santa Cruz Bikes,52,18
Santa Cruz Bikes,53,17
Santa Cruz Bikes,54,11
Santa Cruz Bikes,55,11
Santa Cruz Bikes,56,15
Santa Cruz Bikes,57,1
Santa Cruz Bikes,58,1
Santa Cruz Bikes,59,22
Santa Cruz Bikes,60,19
Santa Cruz Bikes,61,30
Santa Cruz Bikes,62,21
Santa Cruz Bikes,63,4
Santa Cruz Bikes,64,30
Santa Cruz Bikes,65,10
Santa Cruz Bikes,66,12
Santa Cruz Bikes,67,19
Santa Cruz Bikes,68,30
Santa Cruz Bikes,69,4
Santa Cruz Bikes,70,3
Santa Cruz Bikes,71,25
Santa Cruz Bikes,72,9
Santa Cruz Bikes,73,7
Santa Cruz Bikes,74,9
Santa Cruz Bikes,75,23
Santa Cruz Bikes,76,15
Santa Cruz Bikes,77,16
Santa Cruz Bikes,78,13
Santa Cruz Bikes,79,13
Santa Cruz Bikes,80,11
Santa Cruz Bikes,81,25
Santa Cruz Bikes,82,1
Santa Cruz Bikes,83,13
Santa Cruz Bikes,84,11
Santa Cruz Bikes,85,23
Santa Cruz Bikes,86,19
Santa Cruz Bikes,87,27
Santa Cruz Bikes,88,7
Santa Cruz Bikes,89,9
Santa Cruz Bikes,90,4
Santa Cruz Bikes,91,8
Santa Cruz Bikes,92,0
Santa Cruz Bikes,93,22
Santa Cruz Bikes,94,6
Santa Cruz Bikes,95,25
Santa Cruz Bikes,96,20
Santa Cruz Bikes,97,20
Santa Cruz Bikes,98,28
Santa Cruz Bikes,99,28
Santa Cruz Bikes,100,15
Santa Cruz Bikes,101,17
Santa Cruz Bikes,102,9
Santa Cruz Bikes,103,13
Santa Cruz Bikes,104,25
Santa Cruz Bikes,105,7
Santa Cruz Bikes,106,30
Santa Cruz Bikes,107,20
Santa Cruz Bikes,108,15
Santa Cruz Bikes,109,30
Santa Cruz Bikes,110,1
Santa Cruz Bikes,111,11
Santa Cruz Bikes,112,17
Santa Cruz Bikes,113,24
Santa Cruz Bikes,114,3
Santa Cruz Bikes,115,10
Santa Cruz Bikes,116,24
Santa Cruz Bikes,117,15
Santa Cruz Bikes,118,12
Santa Cruz Bikes,119,17
Santa Cruz Bikes,120,23
Santa Cruz Bikes,121,19
Santa Cruz Bikes,122,22
Santa Cruz Bikes,123,8
Santa Cruz Bikes,124,23
Santa Cruz Bikes,125,22
Santa Cruz Bikes,126,28
Santa Cruz Bikes,127,12
Santa Cruz Bikes,128,11
Santa Cruz Bikes,129,21
Santa Cruz Bikes,130,22
Santa Cruz Bikes,131,20
Santa Cruz Bikes,132,1
Santa Cruz Bikes,133,9
Santa Cruz Bikes,134,26
Santa Cruz Bikes,135,15
Santa Cruz Bikes,136,12
Santa Cruz Bikes,137,12
Santa Cruz Bikes,138,6
Santa Cruz Bikes,139,17
Santa Cruz Bikes,140,3
Santa Cruz Bikes,141,21
Santa Cruz Bikes,142,22
Santa Cruz Bikes,143,19
Santa Cruz Bikes,144,7
Santa Cruz Bikes,145,5
Santa Cruz Bikes,146,6
Santa Cruz Bikes,147,8
Santa Cruz Bikes,148,6
Santa Cruz Bikes,149,1
Santa Cruz Bikes,150,22
Santa Cruz Bikes,151,24
Santa Cruz Bikes,152,12
Santa Cruz Bikes,153,25
Santa Cruz Bikes,154,13
Santa Cruz Bikes,155,8
Santa Cruz Bikes,156,13
Santa Cruz Bikes,157,25
Santa Cruz Bikes,158,11
Santa Cruz Bikes,159,18
Santa Cruz Bikes,160,0
Santa Cruz Bikes,161,17
Santa Cruz Bikes,162,14
Santa Cruz Bikes,163,0
Santa Cruz Bikes,164,15
Santa Cruz Bikes,165,16
Santa Cruz Bikes,166,23
Santa Cruz Bikes,167,28
Santa Cruz Bikes,168,0
Santa Cruz Bikes,169,25
Santa Cruz Bikes,170,14
Santa Cruz Bikes,171,3
Santa Cruz Bikes,172,3
Santa Cruz Bikes,173,2
